CO_PROCEDIMENTO,NO_PROCEDIMENTO
301030120,SAMU 192: ENVIO DE UNIDADE DE SUPORTE AVANÇADO DE VIDA TERRESTRE (USA) E/OU AQUATICO (EQUIPE DE EMBARCAÇÃO) E/OU EQUIPE DE AEROMEDICO.
301030138,SAMU 192: ENVIO DE UNIDADE DE SUPORTE BASICO DE VIDA TERRESTRE (USB) E/OU AQUATICO (EQUIPE DE EMBARCAÇÃO E/OU MOTOLÂNCIA
301030146,SAMU 192: ATENDIMENTO DAS CHAMADAS RECEBIDAS PELA CENTRAL DE REGULAÇÃO DAS URGÊNCIAS COM ORIENTAÇÃO
301030154,REMOCAO EM AMBULANCIA DE SIMPLES TRANSPORTE (AMBULANCIA TIPO A)
301030162,ATENDIMENTO PRE-HOSPITALAR MOVEL - SAMU 192: SUPORTE AVANCADO DE VIDA REALIZADO POR EMBARCACAO (AMBULANCIA TIPO F)
301030170,SAMU 192: TRANSPORTE INTER-HOSPITALAR PELA UNIDADE DE SUPORTE AVANÇADO DE VIDA TERRESTRE (USA)
301030189,SAMU 192: TRANSPORTE INTER-HOSPITALAR PELA UNIDADE DE SUPORET BASICO DE VIDA TERRESTRE (USB)
301030197,ATENDIMENTO PRÉ-HOSPITALAR MÓVEL (MOTOLÂNCIA)
301040010,ATENDIMENTO CLÍNICO PARA INDICAÇÃO E FORNECIMENTO DO DIAFRAGMA UTERINO
301040036,TERAPIA EM GRUPO
301040044,TERAPIA INDIVIDUAL
301040052,ATENDIMENTO MULTIPROFISSIONAL PARA ATENÇÃO ÀS PESSOAS EM SITUAÇÃO DE VIOLÊNCIA SEXUAL
301040060,COLETA DE VESTÍGIOS DE VIOLÊNCIA SEXUAL
301040079,ESCUTA INICIAL / ORIENTAÇÃO (ACOLHIMENTO A DEMANDA ESPONT NEA)
301040087,ATENDIMENTO EM GRUPO NA ATENÇÃO PRIMÁRIA
301040095,EXAME DO PÉ DIABÉTICO
301040141,INSERÇÃO DO DISPOSITIVO INTRA-UTERINO (DIU)
301040150,RETIRADA DO DISPOSITIVO INTRA-UTERINO (DIU)
301040168,PROCEDIMENTO PRÉ-OPERATÓRIOS REALIZADOS NA REDE DE SAÚDE  COMPLEMENTAÇÃO
301040176,INSERÇÃO DO IMPLANTE SUBDÉRMICO LIBERADOR DE ETONOGESTREL
301040184,RETIRADA DO IMPLANTE SUBDÉRMICO LIBERADOR DE ETONOGESTREL
301050015,ACOMPANHAMENTO E AVALIAÇÃO DOMICILIAR DEPACIENTE SUBMETIDO À VENTILAÇÃO MECANICA NÃO INVASIVA- PACIENTE/MÊS
301050023,ASSISTÊNCIA DOMICILIAR POR EQUIPE MULTIPROFISSIONAL.
301050031,ASSISTÊNCIA DOMICILIAR POR EQUIPE MULTIPROFISSIONAL NA ATENÇÃO ESPECIALIZADA
301050040,ASSISTENCIA DOMICILIAR TERAPEUTICA MULTIPROFISSIONAL EM HIV/AIDS (ADTM)
301050058,ASSISTÊNCIA DOMICILIAR POR PROFISSIONAL DE NÍVEL MÉDIO
301050066,INSTALAÇÃO / MANUTENÇÃO DE VENTILAÇÃO MECÂNICA NÃO INVASIVA DOMICILIAR
301050074,INTERNAÇÃO DOMICILIAR
301050082,ANTIBIOTICOTERAPIA PARENTERAL
301050090,ATENDIMENTO MEDICO COM FINALIDADE DE ATESTAR ÓBITO
301050104,VISITA DOMICILIAR PÓS ÓBITO
301050112,ADMINISTRAÇÃO DE IMUNODERIVADOS (ORAL E/OU PARENTERAL)
301050120,TERAPIA DE REIDRATAÇÃO PARENTERAL
301050139,BUSCA ATIVA
301050147,VISITA DOMICILIAR POR PROFISSIONAL DE NÍVEL SUPERIOR
301050155,ACOMPANHAMENTO DE PACIENTE EM TERAPIA NUTRICIONAL
301050163,ATENDIMENTO E ACOMPANHAMENTO DOMICILIAR DEPACIENTE SUBMETIDO À VENTILAÇÃO MECÂNICA INVASIVA DOMICILIAR
301050171,AVALIAÇÃO DO PACIENTE EM VENTILAÇÃO MECÂNICA INVASIVADOMICILIAR
301060010,DIAGNOSTICO E/OU ATENDIMENTO DE URGENCIA EM CLINICA PEDIATRICA
301060029,ATENDIMENTO DE URGENCIA C/ OBSERVACAO ATE 24 HORAS EM ATENCAO ESPECIALIZADA
301060037,ATENDIMENTO DE URGÊNCIA EM ATENÇÃO BÁSICA
301060045,ATENDIMENTO DE URGÊNCIA EM ATENÇÃO PRIMÁRIA COM OBSERVAÇÃO ATÉ 8 HORAS
301060053,ATENDIMENTO DE URGÊNCIA EM ATENÇÃO PRIMÁRIA COM REMOÇÃO
301060061,ATENDIMENTO DE URGENCIA EM ATENCAO ESPECIALIZADA
301060070,DIAGNOSTICO E/OU ATENDIMENTO DE URGENCIA EM CLINICA CIRURGICA
301060088,DIAGNOSTICO E/OU ATENDIMENTO DE URGENCIA EM CLINICA MEDICA
301060096,ATENDIMENTO MEDICO EM UNIDADE DE PRONTO ATENDIMENTO
301060100,ATENDIMENTO ORTOPÉDICO COM IMOBILIZAÇÃO PROVISÓRIA
301060118,ACOLHIMENTO COM CLASSIFICAÇÃO DE RISCO
301070016,ACOMPANHAMENTO DE PACIENTE C/ IMPLANTE COCLEAR
301070024,ACOMPANHAMENTO DE PACIENTE EM REABILITACAO EM COMUNICACAO ALTERNATIVA
301070032,ACOMPANHAMENTO DE PACIENTE P/ ADAPTACAO DE APARELHO DE AMPLIFICACAO SONORA INDIVIDUAL (AASI) UNI / BILATERAL
301070040,ACOMPANHAMENTO NEUROPSICOLÓGICO DE PACIENTE EM REABILITAÇÃO
301070059,ACOMPANHAMENTO PSICOPEDAGOGICO DE PACIENTE EM REABILITACAO
301070067,ATENDIMENTO / ACOMPANHAMENTO EM REABILITAÇÃO NAS MULTIPLAS DEFICIÊNCIAS
301070075,ATENDIMENTO / ACOMPANHAMENTO DE PACIENTE EM REABILITACAO DO DESENVOLVIMENTO NEUROPSICOMOTOR
301070083,ATENDIMENTO EM OFICINA TERAPÊUTICA I EM GRUPO PARA PESSOAS COM DEFICIÊNCIA (POR OFICINA TERAPÊUTICA I)
301070091,ATENDIMENTO EM OFICINA TERAPÊUTICA II EM GRUPO PARA PESSOAS COM DEFICIÊNCIA (POR OFICINA TERAPÊUTICA II)
301070105,ATENDIMENTO/ACOMPANHAMENTO INTENSIVO DE PACIENTE EM REABILITAÇÃO FÍSICA (1 TURNO PACIENTE-DIA - 15 ATENDIMENTOS-MÊS)
301070113,TERAPIA FONOAUDIOLÓGICA INDIVIDUAL
301070121,TRATAMENTO INTENSIVO DE PACIENTE EM REABILITAÇÃO FÍSICA (1 TURNO PACIENTE- DIA - 20 ATENDIMENTOS-MÊS)
301070130,TRATAMENTO INTENSIVO DE PACIENTE EM REABILITAÇÃO FÍSICA (2 TURNOS PACIENTE-DIA - 20 ATENDIMENTOS-MÊS)
301070148,TREINO DE ORIENTAÇÃO E MOBILIDADE
301070156,AVALIAÇÃO MULTIPROFISSIONAL EM DEFICIÊNCIA VISUAL
301070164,ATENDIMENTO/ACOMPANHAMENTO EM REABILITAÇÃO VISUAL
301070172,MANUTENÇÃO DA PRÓTESE DE IMPLANTE COCLEAR
301070180,ACOMPANHAMENTO DE PACIENTE COM PRÓTESE AUDITIVA ANCORADA NO OSSO
301070199,ACOMPANHAMENTO DE PACIENTE COM IMPLANTE COCLEAR
301070202,ESTIMULAÇÃO PRECOCE PARA DESENVOLVIMENTO NEUROPSICOMOTOR
301070210,REABILITAÇÃO DE PACIENTES PÓS COVID-19
301070229,REABILITAÇÃO CARDIORRESPIRATÓRIA DE PACIENTES PÓS COVID-19
301070237,TELEATENDIMENTO/TELEMONITORAMENTO EM REABILITAÇÃO FÍSICA
301070245,TELETENDIMENTO/TELEMONITORAMENTO EM REABILITAÇÃO VISUAL
301070253,TELEATENDIMENTO/TELEMONITORAMENTO EM REABILITAÇÃO AUDITIVA
301070261,TELEATENDIMENTO/TELEMONITORAMENTO EM REABILITAÇÃO INTELECTUAL
301070270,MATRICIAMENTO DE EQUIPES DOS OUTROS PONTOS E NÍVEIS DA REDE DE ATENÇÃO À SAÚDE PARA ATENÇÃO À SAÚDE DAS PESSOAS COM DEFICIÊNCIA
301070288,ALTA POR OBJETIVOS TERAPÊUTICOS ALCANÇADOS DA REABILITAÇÃO NA ATENÇÃO ESPECIALIZADA
301070296,ESTIMULAÇÃO PRECOCE RELACIONADA AO NEURODESENVOLVIMENTO NA ATENÇÃO ESPECIALIZADA
301070300,"ATENDIMENTO DE FAMILIARES, CUIDADORES E/OU ACOMPANHANTES DE PESSOAS COM DEFICIÊNCIA NOS SERVIÇOS DE REABILITAÇÃO DA ATENÇÃO ESPECIALIZADA"
301080011,ABORDAGEM COGNITIVA COMPORTAMENTAL DO FUMANTE (POR ATENDIMENTO / PACIENTE)
301080020,ACOLHIMENTO NOTURNO DE PACIENTE EM CENTRO DE ATENÇÃO PSICOSSOCIAL
301080038,ACOLHIMENTO EM TERCEIRO TURNO DE PACIENTE EM CENTRO DE ATENÇÃO PSICOSSOCIAL
301080046,ACOMPANHAMENTO DE PACIENTE EM SAUDE MENTAL (RESIDENCIA TERAPEUTICA)
301080143,ATENDIMENTO EM OFICINA TERAPEUTICA I - SAUDE MENTAL
301080151,ATENDIMENTO EM OFICINA TERAPEUTICA II - SAUDE MENTAL
301080160,ATENDIMENTO EM PSICOTERAPIA DE GRUPO
301080178,ATENDIMENTO INDIVIDUAL EM PSICOTERAPIA
301080194,ACOLHIMENTO DIURNO DE PACIENTE EM CENTRO DE ATENÇÃO PSICOSSOCIAL
301080208,ATENDIMENTO INDIVIDUAL DE PACIENTE EM CENTRO DE ATENÇÃO PSICOSSOCIAL
301080216,ATENDIMENTO EM GRUPO DE PACIENTE EM CENTRO DE ATENÇÃO PSICOSSOCIAL
301080224,ATENDIMENTO FAMILIAR EM CENTRO DE ATENÇÃO PSICOSSOCIAL
301080232,ACOLHIMENTO INICIAL POR CENTRO DE ATENÇÃO PSICOSSOCIAL
301080240,ATENDIMENTO DOMICILIAR PARA PACIENTES DE CENTRO DE ATENÇÃO PSICOSSOCIAL E/OU FAMILIARES
301080259,AÇÕES DE ARTICULAÇÃO DE REDES INTRA E INTERSETORIAIS
301080267,FORTALECIMENTO DO PROTAGONISMO DE USUÁRIOS DE CENTRO DE ATENÇÃO PSICOSSOCIAL E SEUS FAMILIARES
301080275,PRÁTICAS CORPORAIS EM CENTRO DE ATENÇÃO PSICOSSOCIAL
301080283,PRÁTICAS EXPRESSIVAS E COMUNICATIVAS EM CENTRO DE ATENÇÃO PSICOSSOCIAL
301080291,ATENÇÃO ÀS SITUAÇÕES DE CRISE
301080305,MATRICIAMENTO DE EQUIPES DA ATENÇÃO BÁSICA
301080313,AÇÕES DE REDUÇÃO DE DANOS
301080321,ACOMPANHAMENTO DE SERVIÇO RESIDENCIAL TERAPÊUTICO POR CENTRO DE ATENÇÃO PSICOSSOCIAL
301080330,APOIO À SERVIÇO RESIDENCIAL DE CARÁTER TRANSITÓRIO POR CENTRO DE ATENÇÃO PSICOSSOCIAL
301080348,AÇÕES DE REABILITAÇÃO PSICOSSOCIAL
301080356,PROMOÇÃO DE CONTRATUALIDADE NO TERRITÓRIO
301080364,"ACOMPANHAMENTO DE PESSOAS COM NECESSIDADES DECORRENTES DO USO DE ÁLCOOL, CRACK E OUTRAS DROGAS EM SERVIÇO RESIDENCIAL DE CARÁTER TRANSITÓRIO (COMUNIDADES TERAPÊUTICAS)."
301080372,"ACOMPANHAMENTO DE PESSOAS ADULTAS COM SOFRIMENTO OU TRANSTORNOS MENTAIS DECORRENTES DO USO DE CRACK, ÁLCOOL E OUTRAS DROGAS-UNIDADE DE ACOLHIMENTO ADULTO (UAA)."
301080380,"ACOMPANHAMENTO DA POPULAÇÃO INFANTO-JUVENIL COM SOFRIMENTO OU TRANSTORNOS MENTAIS DECORRENTES DO USO DE CRACK, ÁLCOOL E OUTRAS DROGAS-UNIDADE DE ACOLHIMENTO INFANTO-JUVENIL (UAI)."
301080399,"MATRICIAMENTO DE EQUIPES DOS PONTOS DE ATENÇÃO DA URGÊNCIA E EMERGÊNCIA, E DOS SERVIÇOS HOSPITALARES DE REFERÊNCIA PARA ATENÇÃO A PESSOAS COM SOFRIMENTO OU TRANSTORNOS MENTAIS E COM NECESSIDADES DE SAÚDE DECORRENTE DO USO DE ALCOOL, CRACK E OUTRAS D"
301080402,APOIO MATRICIAL EM SAÚDE DO TRABALHADOR NA ATENÇÃO PRIMÁRIA À SAÚDE
301080410,"APOIO MATRICIAL EM SAÚDE DO TRABALHADOR NA ATENÇÃO ESPECIALIZADA, URGÊNCIA E EMERGÊNCIA"
301080429,APOIO MATRICIAL EM VIGILÂNCIA À SAÚDE DO TRABALHADOR (VISAT) PARA OUTROS COMPONENTES DA VIGILÂNCIA EM SAÚDE
301080437,ACOLHIMENTO DE PESSOAS COM PROBLEMAS DE SAÚDE MENTAL EM CONFLITO COM A LEI
301080445,AVALIAÇÃO E ACOMPANHAMENTO DE MEDIDAS TERAPÊUTICAS PARA PESSOAS COM PROBLEMAS DE SAÚDE MENTAL EM CONFLITO COM A LEI
301080453,MATRICIAMENTO DA REDE DE ATENÇÃO À SAÚDE PARA PESSOA COM TRANSTORNO MENTAL EM CONFLITO COM A LEI
301080461,AÇÕES DE ARTICULAÇÃO DE REDES INTRA E INTERSETORIAIS PARA AS PESSOAS COM PROBLEMAS DE SAÚDE MENTAL EM CONFLITO COM A LEI
301090017,ATENDIMENTO EM GERIATRIA (1 TURNO)
301090025,ATENDIMENTO EM GERIATRIA (2 TURNOS)
301090033,AVALIAÇÃO MULTIDIMENSIONAL DA PESSOA IDOSA
301100012,ADMINISTRACAO DE MEDICAMENTOS NA ATENCAO ESPECIALIZADA.
301100039,AFERIÇÃO DE PRESSÃO ARTERIAL
301100047,CATETERISMO VESICAL DE ALIVIO
301100055,CATETERISMO VESICAL DE DEMORA
301100063,CUIDADOS COM ESTOMAS
301100071,CUIDADOS C/ TRAQUEOSTOMIA
301100080,DETERMINACAO DE PRESSAO VENOSA CENTRAL (PVC)
301100098,ENEMA
301100101,INALAÇÃO / NEBULIZAÇÃO
301100110,IRRIGACAO VESICAL
301100128,LAVAGEM GASTRICA
301100136,ORDENHA MAMÁRIA
301100144,OXIGENOTERAPIA POR DIA
301100152,RETIRADA DE PONTOS DE CIRURGIAS (POR PACIENTE)
301100179,SONDAGEM GÁSTRICA
301100187,TERAPIA DE REIDRATAÇÃO ORAL
301100195,ADMINISTRAÇÃO DE MEDICAMENTOS POR VIA ENDOVENOSA
301100209,ADMINISTRAÇÃO DE MEDICAMENTOS POR VIA INTRAMUSCULAR
301100217,ADMINISTRAÇÃO DE MEDICAMENTOS POR VIA ORAL
301100225,ADMINISTRAÇÃO DE MEDICAMENTOS POR VIA SUBCUTÂNEA (SC)
301100233,ADMINISTRAÇÃO TÓPICA DE MEDICAMENTO(S)
301100241,ADMINISTRAÇÃO DE PENICILINA PARA TRATAMENTO DE SÍFILIS
301100250,AFERIÇÃO DE TEMPERATURA
301100268,PREPARAÇÃO PARA O ELETROCARDIOGRAMA
301100276,CURATIVO ESPECIAL
301100284,CURATIVO SIMPLES
301110018,ACOMPANHAMENTO DE PACIENTE MÉDIO / GRANDE QUEIMADO
301110026,ACOMPANHAMENTO DE PACIENTE PEQUENO QUEIMADO
301120013,ACOMPANHAMENTO DE PACIENTE COM FENILCETONÚRIA
301120021,ACOMPANHAMENTO DE PACIENTE COM FIBROSE CÍSTICA
301120030,ACOMPANHAMENTO DE PACIENTE COM HEMOGLOBINOPATIAS
301120048,ACOMPANHAMENTO DE PACIENTE COM HIPOTIREOIDISMO CONGÊNITO
301120056,ACOMPANHAMENTO DE PACIENTE PÓS-CIRURGIA BARIÁTRICA POR EQUIPE MULTIPROFISSIONAL
301120064,ACOMPANHAMENTO EM SERVIÇO DE REFERÊNCIA EM TRIAGEM NEONATAL (SRTN) - HIPERPLASIA ADRENAL CONGÊNITA.
301120072,ACOMPANHAMENTO EM SERVIÇO DE REFERÊNCIA DE TRIAGEM NEONATAL (SRTN) PACIENTE COM DEFICIÊNCIA DE BIOTINIDASE
301120080,ACOMPANHAMENTO DE PACIENTE PRÉ-CIRURGIA BARIÁTRICA POR EQUIPE MULTIPROFISSIONAL
301130019,AVALIAÇÃO CLÍNICA E ELETRÔNICA DE DISPOSITIVO ELÉTRICO CARDÍACO IMPLANTÁVEL
301130035,ACOMPANHAMENTO NO PROCESSO TRANSEXUALIZADO EXCLUSIVAMENTE PARA ATENDIMENTO CLÍNICO
301130043,ACOMPANHAMENTO NO PROCESSO TRANSEXUALIZADOR EXCLUSIVO NAS ETAPAS DO PRÉ E PÓS-OPERATÓRIO
301130051,ACOMPANHAMENTO MULTIPROFISSIONAL EM DRC ESTÁGIO 04 PRÉ DIÁLISE
301130060,ACOMPANHAMENTO MULTIPROFISSIONAL EM DRC ESTÁGIO 05 PRÉ DIÁLISE
301130078,ACOMPANHAMENTO DO TRATAMENTO PARA MALÁRIA NÃO COMPLICADA
301140014,ATENDIMENTO DE PACIENTE EM CUIDADOS PALIATIVOS
301160015,- REABILITAÇÃO EM FALÊNCIA INTESTINAL EM NÍVEL AMBULATORIAL
301160023,REABILITAÇÃO EM FALÊNCIA INTESTINAL EM NÍVEL HOSPITALAR
302010017,ATENDIMENTO FISIOTERAPÊUTICO EM PACIENTE NO PRÉ/PÓS CIRURGIAS UROGINECOLÓGICAS
302010025,ATENDIMENTO FISIOTERAPÊUTICO EM PACIENTES C/ DISFUNÇÕES UROGINECOLÓGICAS
302010033,ATENDIMENTO FISIOTERAPÊUTICO EM PACIENTE NEONATO
302020020,ATENDIMENTO FISIOTERAPÊUTICO EM PACIENTE ONCOLÓGICO CLÍNICO
302020039,ATENDIMENTO FISIOTERAPÊUTICO EM PACIENTE NO PRÉ E PÓS CIRURGIA ONCOLÓGICA
302030018,ATENDIMENTO FISIOTERAPÊUTICO EM PACIENTES COM ALTERAÇÕES OCULOMOTORAS CENTRAIS C/ COMPROMETIMENTO SISTÊMICO
302030026,ATENDIMENTO FISIOTERAPÊUTICO EM PACIENTE COM ALTERAÇÕES OCULOMOTORAS PERIFÉRICAS
302040013,ATENDIMENTO FISIOTERAPÊUTICO EM PACIENTE COM TRANSTORNO RESPIRATÓRIO COM COMPLICAÇÕES SISTÊMICAS
302040021,ATENDIMENTO FISIOTERAPÊUTICO EM PACIENTE COM TRANSTORNO RESPIRATÓRIO SEM COMPLICAÇÕES SISTÊMICAS
302040030,ATENDIMENTO FISIOTERAPÊUTICO EM PACIENTE COM TRANSTORNO CLÍNICO CARDIOVASCULAR
302040048,ATENDIMENTO FISIOTERAPÊUTICO EM PACIENTE PRÉ/PÓS CIRURGIA CARDIOVASCULAR
302040056,ATENDIMENTO FISIOTERAPÊUTICO NAS DISFUNÇÕES VASCULARES PERIFÉRICAS
302040064,ATENDIMENTO FISIOTERAPÊUTICO EM PACIENTE COM SÍNDROME CORONARIANA AGUDA
302050019,ATENDIMENTO FISIOTERAPÊUTICO EM PACIENTES NO PRÉ E PÓS-OPERATÓRIO NAS DISFUNÇÕES MÚSCULO ESQUELÉTICAS
302050027,ATENDIMENTO FISIOTERAPÊUTICO NAS ALTERAÇÕES MOTORAS
302050035,ATENDIMENTO FISIOTERAPÊUTICO EM PACIENTES NO PRÉ E PÓS-OPERATÓRIO NAS DISFUNÇÕES MUSCULO- ESQUELETICAS C/ COMPLICAÇÕES SISTEMICAS
302060014,ATENDIMENTO FISIOTERAPÊUTICO EM PACIENTES COM DISTÚRBIOS NEURO-CINÉTICO-FUNCIONAIS SEM COMPLICAÇÕES SISTÊMICAS
302060022,ATENDIMENTO FISIOTERAPÊUTICO EM PACIENTES COM DISTÚRBIOS NEURO-CINÉTICO-FUNCIONAIS COM COMPLICAÇÕES SISTÊMICAS
302060030,ATENDIMENTO FISIOTERAPÊUTICO NAS DESORDENS DO DESENVOLVIMENTO NEURO MOTOR
302060049,ATENDIMENTO FISIOTERAPÊUTICO EM PACIENTE C/ COMPROMETIMENTO COGNITIVO
302060057,ATENDIMENTO FISIOTERAPÊUTICO EM PACIENTE NO PRÉ/PÓS-OPERATÓRIO DE NEUROCIRURGIA
302070010,ATENDIMENTO FISIOTERAPÊUTICO EM PACIENTE MÉDIO QUEIMADO
302070028,ATENDIMENTO FISIOTERAPÊUTICO EM PACIENTE GRANDE QUEIMADO
302070036,ATENDIMENTO FISIOTERAPÊUTICO EM PACIENTE COM SEQÜELAS POR QUEIMADURAS (MÉDIO E GRANDE QUEIMADOS)
303010010,TRATAMENTO DE DENGUE CLÁSSICA
303010029,TRATAMENTO DE DENGUE HEMORRÁGICA
303010037,TRATAMENTO DE OUTRAS DOENÇAS BACTERIANAS
303010045,TRATAMENTO DE DOENÇAS BACTERIANAS ZOONÓTICAS
303010053,TRATAMENTO DE OUTRAS DOENÇAS DEVIDAS A PROTOZOÁRIOS (B55 A B64)
303010061,TRATAMENTO DE DOENÇAS INFECCIOSAS INTESTINAIS
303010070,TRATAMENTO DE FEBRES POR ARBOVÍRUS E FEBRES HEMORRÁGICAS VIRAIS
303010088,TRATAMENTO DE HANSENÍASE
303010096,TRATAMENTO DE HANTAVIROSE
303010100,TRATAMENTO DE HELMINTÍASES (B65 a B83)
303010118,TRATAMENTO DE HEPATITES VIRAIS
303010126,TRATAMENTO DE INFECÇÕES DE TRANSMISSÃO PREDOMINANTEMENTE SEXUAL (A50 A A64)
303010134,TRATAMENTO DE INFECÇÕES VIRAIS CARACTERIZADAS POR LESÕES DE PELE E MUCOSAS (B00 A B09)
303010142,TRATAMENTO DE INFECÇÕES VIRAIS DO SISTEMA NERVOSO CENTRAL
303010150,TRATAMENTO DE MALÁRIA
303010169,TRATAMENTO DE MICOSES (B35 A B49)
303010177,TRATAMENTO DE OUTRAS DOENÇAS CAUSADAS POR CLAMÍDIAS(A70 A A74)
303010185,TRATAMENTO DE OUTRAS DOENÇAS CAUSADAS POR ESPIROQUETAS (A65 A A69)
303010193,TRATAMENTO DE OUTRAS DOENÇAS CAUSADAS POR VÍRUS (B25 A B34)
303010207,TRATAMENTO DE POLIOMIELITE PARALÍTICA AGUDA
303010215,TRATAMENTO DE TUBERCULOSE (A15 A A19)
303010231,CONSULTA EM SAÚDE DO TRABALHADOR (EXCETO MÉDICO)
303020016,PULSOTERAPIA I (POR APLICACAO)
303020024,PULSOTERAPIA II (POR APLICACAO)
303020032,TRATAMENTO DE ANEMIA APLASTICA E OUTRAS ANEMIAS
303020040,TRATAMENTO DE ANEMIA HEMOLITICA
303020059,TRATAMENTO DE ANEMIAS NUTRICIONAIS
303020067,TRATAMENTO DE DEFEITOS DA COAGULACAO PURPURA E OUTRAS AFECCOES HEMORRAGICAS
303020075,TRATAMENTO DE HEMOFILIAS
303020083,TRATAMENTO DE OUTRAS DOENÇAS DO SANGUE E DOS ÓRGÃOS HEMATOPOIÉTICOS
303030011,TRATAMENTO DA FIBROSE CÍSTICA
303030020,TRATAMENTO DE DESNUTRICAO
303030038,TRATAMENTO DE DIABETES MELLITUS
303030046,TRATAMENTO DE DISTURBIOS METABOLICOS
303030054,TRATAMENTO DE TRANSTORNOS DA GLÂNDULA TIREOIDE
303030062,TRATAMENTO DE TRANSTORNOS DE OUTRAS GLÂNDULAS ENDÓCRINAS
303030089,TRATAMENTO HORMONAL PREPARATÓRIO PARA CIRURGIA DE REDESIGNAÇÃO SEXUAL NO PROCESSO TRANSEXUALIZADOR
303030097,TERAPIA HORMONAL NO PROCESSO TRANSEXUALIZADOR
303040017,AJUSTE MEDICAMENTOSO DE SITUAÇÕES NEUROLÓGICAS AGUDIZADAS
303040025,INTERNAÇÃO P/ O TRATAMENTO MEDICAMENTOSO DA OSTEOGENESIS IMPERFECTA
303040033,TRATAMENTO DA MIGRANEA COMPLICADA
303040041,TRATAMENTO CLÍNICO DE ABSCESSO CEREBRAL
303040050,TRATAMENTO CLINICO DE COREIA AGUDA
303040068,TRATAMENTO CONSERVADOR DA DOR REBELDE DE ORIGEM CENTRAL OU NEOPLÁSICA
303040076,TRATAMENTO CONSERVADOR DA HEMORRAGIA CEREBRAL
303040084,TRATAMENTO CONSERVADOR DE TRAUMATISMO CRANIOENCEFÁLICO (GRAU LEVE)
303040092,TRATAMENTO CONSERVADOR DE TRAUMATISMO CRANIOENCEFÁLICO (GRAU MÉDIO)
303040106,TRATAMENTO CONSERVADOR DE TRAUMATISMO CRANIOENCEFALICO GRAVE
303040114,TRATAMENTO CONSERVADOR DE TRAUMATISMO RAQUIMEDULAR
303040122,TRATAMENTO CONSERVADOR DE TUMOR DO SISTEMA NERVOSO CENTRAL
303040130,TRATAMENTO CLÍNICO DAS MIELITES / MIELOPATIAS
303040149,TRATAMENTO DE ACIDENTE VASCULAR CEREBRAL - AVC (ISQUEMICO OU HEMORRAGICO AGUDO)
303040157,TRATAMENTO DE COMPLICAÇÕES DA HIDROCEFALIA
303040165,TRATAMENTO DE CRISES EPILÉTICAS NÃO CONTROLADAS
303040173,TRATAMENTO DE DISTROFIAS MUSCULARES
303040181,TRATAMENTO DE DOENCA DE PARKINSON
303040190,TRATAMENTO DE DOENÇA DOS NEURÔNIOS MOTORES CENTRAIS C/ OU S/ AMIOTROFIAS
303040203,TRATAMENTO DE DOENÇAS NEURODEGENERATIVAS
303040211,TRATAMENTO DE ENCEFALOPATIA HIPERTENSIVA
303040220,TRATAMENTO DE ESCLEROSE GENERALIZADA PROGRESSIVA
303040238,TRATAMENTO DE FRATURA DA COLUNA VERTEBRAL C/ LESÃO DA MEDULA ESPINHAL
303040246,TRATAMENTO DE INTERCORRENCIAS DE DOENCAS NEUROMUSCULARES
303040254,TRATAMENTO DE MIASTENIA GRAVE
303040262,TRATAMENTO DE POLINEUROPATIAS
303040270,TRATAMENTO DE POLIRRADICULONEURITE DESMIELINIZANTE AGUDA
303040289,TRATAMENTO DE SURTO DE ESCLEROSE MULTIPLA
303040297,TRATAMENTO DE PROCESSO TOXI-INFECCIOSO DO CEREBRO OU DA MEDULA ESPINHAL
303040300,TRATAMENTO DO ACIDENTE VASCULAR CEREBRAL ISQUÊMICO AGUDO COM USO DE TROMBOLÍTICO
303050012,ACOMPANHAMENTO E AVALIACAO DE GLAUCOMA POR FUNDOSCOPIA E TONOMETRIA
303050020,EXERCICIOS ORTOPTICOS
303050039,TRATAMENTO OFTALMOLÒGICO DE PACIENTE C/ GLAUCOMA BINOCULAR (1ª LINHA )
303050047,TRATAMENTO OFTALMOLÓGICO DE PACIENTE C/ GLAUCOMA BINOCULAR (2ª LINHA)
303050055,TRATAMENTO OFTALMOLÓGICO DE PACIENTE C/ GLAUCOMA BINOCULAR (3 ª LINHA)
303050063,TRATAMENTO OFTALMOLÓGICO DE PACIENTE C/ GLAUCOMA MONOCULAR (1ª LINHA )
303050071,TRATAMENTO OFTALMOLÓGICO DE PACIENTE COM GLAUCOMA MONOCULAR (2ª LINHA)
303050080,TRATAMENTO OFTALMOLÓGICO DE PACIENTE COM GLAUCOMA MONOCULAR (3ª LINHA)
303050098,TRATAMENTO OFTALMOLOGICO DE PACIENTE COM GLAUCOMA COM DISPENSAÇÃO DE ACETAZOLAMIDA MONOCULAR OU BINOCULAR
303050101,TRATAMENTO OFTALMOLÓGICO DE PACIENTE COM GLAUCOMA COM DISPENSAÇÃO DE PILOCARPINA MONOCULAR
303050110,TRATAMENTO OFTALMOLÓGICO DE PACIENTE COM GLAUCOMA COM DISPENSAÇÃO DE PILOCARPINA BINOCULAR
303050136,TRATAMENTO CLÍNICO DE INTERCORRÊNCIAS OFTALMOLÓGICAS
303050144,TRATAMENTO CLÍNICO DE INTERCORRÊNCIAS OFTALMOLÓGICAS DE ORIGEM INFECCIOSA
