CO_PROCEDIMENTO,Descricao,ValorTUNEP
405010087,EXTIRPACAO DE GLANDULA LACRIMAL,"469,90"
405050232,RECONSTRUCAO DE CAMARA ANTERIOR DO OLHO POS-TRAU,"998,35"
405030142,VITRECTOMIA POSTERIOR,"1.055,76"
201010186,BIOPSIA DA ESCLERA,"177,11"
405040091,EXERESE DE TUMOR MALIGNO INTRA-OCULAR,"1.070,35"
405040156,RECONSTITUICAO DE CAVIDADE,"780,47"
405030100,TRATAMENTO CIRURGICO DA DEISCENCIA DE SUTURA DA ES,"445,35"
405040024,CRIOTERAPIA DE TUMORES INTRA-OCULARES,"902,95"
405030037,CRIO-RETINOPEXIA,"452,94"
405040148,ORBITOTOMIA,"902,95"
201010097,BIOPSIA DA CONJUNTIVA,"95,55"
405050216,RECOBRIMENTO CONJUNTIVAL,"410,15"
505010127,TRANSPLANTE DE ESCLERA,"922,04"
405050178,IRIDECTOMIA CIRURGICA,"452,94"
405040040,CIRURGIA PARA DESCOMPRESSAO DO NERVO OPTICO,"1.129,24"
405050224,RECONSTITUICAO DE FORNIX CONJUNTIVAL,"780,47"
405030070,INTROFLEXAO ESCLERAL,"1.005,24"
405040164,RECONSTITUICAO DA PAREDE DA ORBITA,"1.129,24"
405050143,IMPLANTE INTERLAMELAR DE CORNEA,"1.004,97"
405040105,EXPLANTACAO E/OU SUBSTITUICAO DE LENTE INTRA-OCULAR,"902,95"
405040180,TRANSPLANTE DE PERIOSTEO EM ESCLEROMALACIA,"1.129,24"
405030029,BIOPSIA DE TUMOR EXTRA-OCULAR,"228,70"
405010192,CIRURGIA DA TRIQUIASE,"312,91"
405010168,SONDAGEM DAS VIAS LACRIMAIS,"95,55"
201010119,BIOPSIA DA CORNEA,"114,60"
405050135,IMPLANTACAO DE PROTESE ANTIGLAUCOMATOSA,"1.197,22"
405010117,RECONSTITUICAO DO CANAL LACRIMAL,"816,78"
505010097,TRANSPLANTE DE CORNEA,"1.062,66"
405030010,APLICACAO DE PLACA RADIOATIVA EPISCLERAL,"925,60"
201010240,BIOPSIA DA IRIS E CORPO CILIAR,"445,35"
405020015,TRATAMENTO CIRURGICO DE HIPERTROPIAS,"902,95"
405050356,CIRURGIA DO GLAUCOMA CONGENITO,"1.351,64"
405030118,MIIASE PALPEBRAL,"95,55"
405040059,DESCOMPRESSAO DA ORBITA,"992,44"
405050186,IRIDOCICLECTOMIA,"910,46"
405040199,CIRURGIA DO XANTELASMA,"434,41"
405010184,BLEFAROCALASE,"480,45"
405010125,RECONSTITUICAO PARCIAL DA PALPEBRA,"900,03"
405050313,TOPOPLASTIA DO TRANSPLANTE,"1.129,24"
404010040,ANTROTOMIA DA MASTOIDE (DRENAGEM DE OTITE NO LACTE,"840,14"
404010067,INCISAO E DRENAGEM DE ABSCESSO PERIAMIGDALIANO,"383,55"
404010172,LARINGECTOMIA PARCIAL,"1.335,87"
404010016,ADENOIDECTOMIA,"424,36"
404010180,LARINGECTOMIA TOTAL,"1.429,63"
404020291,RESSECCAO DO CONDILO DO MAXILAR INFERIOR,"1.210,56"
404010385,CIRURGIA DA ESTENOSE DO CONDUTO AUDITIVO,"806,08"
404010032,AMIGDALECTOMIA COM OU SEM ADENOIDECTOMIA,"468,55"
404010199,LARINGECTOMIA TOTAL COM ESVAZIAMENTO CERVICAL,"2.353,87"
404020313,RETIRADA DE CORPO ESTRANHO NA INTIMIDADE DOS OSSOS,"472,21"
404010105,ESTAPEDECTOMIA,"1.099,98"
404010130,EXTIRPACAO DE TUMOR DO CAVUM,"415,56"
404010407,CIRURGIA DE OZENA,"524,75"
404010059,DRENAGEM DE ABSCESSO FARINGEO,"383,55"
404010318,LARINGOSCOPIA DIRETA PARA RETIRADA DE CORPO ESTRAN,"353,04"
404010083,INCISAO E DRENAGEM DO SACO ENDO-LINFATICO (SHUNT) C,"1.131,78"
404010113,LARINGOSCOPIA COM EXERESE DE PAPILOMA,"427,04"
306010038,LABIRINTECTOMIA (MEMBRANOSA OU OSSEA) SEM AUDICAO,"1.182,85"
404010164,LABIRINTECTOMIA (MEMBRANOSA OU OSSEA) SEM AUDICAO,"1.182,85"
306010020,AMIGDALECTOMIA,"457,36"
404010024,AMIGDALECTOMIA,"457,36"
501010017,LARINGOFISSURA PARA COLOCACAO DE MOLDE NOS TRAUM,"1.429,63"
404010202,LARINGORRAFIA,"1.189,59"
404010229,MASTOIDECTOMIA SUBTOTAL,"840,14"
404010326,SINUSOTOMIA ETMOIDAL,"637,45"
404010130,EXTIRPACAO DE TUMOR DA FARINGE,"415,56"
404020380,TRATAMENTO CIRURGICO DE OSTEOMIELITE DO(S) OSSO(S),"794,30"
404010210,MASTOIDECTOMIA RADICAL,"1.018,41"
404010326,SINUSOTOMIA FRONTAL,"535,88"
404010326,SINUSOTOMIA MAXILAR,"497,04"
404010164,NEURECTOMIA VESTIBULAR TRANS-LABIRINTICA SEM AUDICA,"1.274,89"
404010164,NEURECTOMIA VESTIBULAR TRANSFOSSA MEDIA COM AUDIC,"1.633,80"
404010415,TURBINECTOMIA,"422,77"
212010018,RESSECCAO DO GLOMO TIMPANICO,"1.100,30"
404010288,RESSECCAO DO GLOMO TIMPANICO,"1.100,30"
404010334,SINUSOTOMIA ESFENOIDAL,"566,52"
404010350,TIMPANOPLASTIA ( TIPO I - UNILATERAL ),"785,84"
404010350,TIMPANOPLASTIA ( TIPO I - BILATERAL ),"1.061,86"
404010350,TIMPANOPLASTIA (OUTROS TIPOS UNILATERAL),"991,12"
404020135,"EXPLORACAO, DESCOMPRESSAO PARCIAL DO NERVO FACIAL ","1.127,60"
404020135,"EXPLORACAO, DESCOMPRESSAO TOTAL DO NERVO FACIAL ","1.337,81"
404020062,ENXERTO PARCIAL INTRATEMPORAL NERVO FACIAL F. ESTILO,"1.257,78"
212010050,ENXERTO PARCIAL INTRATEMPORAL NERVO FACIAL DO GANG,"1.368,45"
404020062,ENXERTO PARCIAL INTRATEMPORAL NERVO FACIAL DO GANG,"1.368,45"
404020062,ENXERTO TOTAL DO NERVO FACIAL INTRATEMPORAL,"1.336,95"
404010237,MICROCIRURGIA OTOLOGICA,"441,38"
404020429,TRATAMENTO CIRURGICO DO SOALHO DA ORBITA,"1.043,18"
405040164,RECONSTRUCAO DA ORBITA COM OU SEM ENXERTO OSSEO,"974,43"
404010148,IMPLANTE COCLEAR,"3.000,66"
404030190,TIMPANOPLASTIA (UNI OU BILATERAL) EM PACIENTES COM D,"1.111,98"
404010032,AMIGDALECTOMIA COM ADENOIDECTOMIA E PACIENTES COM,"706,46"
404030041,MICROCIRURGIA OTOLOGICA EM PACIENTES COM DEFORMID,"540,02"
415020018,CIRURGIAS PLASTICAS CORRETIVAS SEQUENCIAS EM PACIEN,"0,00"
409050075,PLASTICA TOTAL DO PENIS,"720,38"
404020119,EXCISAO PARCIAL DE LABIO COM ENXERTO LIVRE,"936,10"
406020558,LINFEDEMA (ELEFANTIASE DOS MEMBROS INFERIORES),"1.439,04"
404020011,ALONGAMENTO DE COLUMELA,"637,45"
413040232,TRATAMENTO CIRURGICO NAO ESTETICO DA ORELHA,"552,62"
401020061,EXERESE DE CISTO BRANQUIAL,"727,03"
413040046,DERMOLIPECTOMIA ABDOMINAL NAO ESTETICA ( PLASTICA A,"1.210,31"
404030084,PALATOPLASTIA COM ENXERTO OSSEO,"1.299,71"
404020178,MAXILECTOMIA COM OU SEM ESVAZIAMENTO ORBITARIO E R,"1.248,55"
409050105,TRATAMENTO CIRURGICO DA ELEFANTIASE DO PENIS,"973,41"
404020119,EXCISAO PARCIAL DE LABIO POR LESAO COM ROTACAO DE R,"936,10"
413040038,DERMOLIPECTOMIA (DOIS MEMBROS INFERIORES),"1.033,83"
408020474,TRATAMENTO CIRURGICO DO GIGANTISMO AO NIVEL DA MAO,"802,45"
413040160,TRATAMENTO CIRURGICO DA ELEFANTIASE AO NIVEL DO PE,"1.060,43"
401020096,EXERESE DE CISTO TIREOGLOSSO,"694,56"
401020088,EXERESE E PLASTICA DE CISTO SACRO COCCIGEO,"403,95"
401020029,ENXERTO DERMO EPIDERMICO,"566,97"
404030084,PALATOPLASTIA COM RETALHO FARINGEO,"1.305,52"
404030050,OSTEOPLASTIA DA MANDIBULA PARA PROGNATISMO,"1.150,51"
409040207,TRATAMENTO CIRURGICO DA ELEFANTIASE DA BOLSA ESCRO,"973,41"
413040038,DERMOLIPECTOMIA (UM MEMBRO INFERIOR),"1.033,83"
408060662,TRATAMENTO CIRURGICO DA POLIDACTILIA ARTICULADA,"488,11"
404020321,RINOPLASTIA PARA DEFEITO(S) POS-TRAUMATICO(S),"724,20"
413040135,RECONSTRUCAO DE HELIX DA ORELHA,"552,62"
408050640,TRATAMENTO CIRURGICO DO GIGANTISMO AO NIVEL DO PE,"1.114,93"
410010073,PLASTICA MAMARIA FEMININA NAO ESTETICA,"1.423,40"
410010090,"PLASTICA MAMARIA RECONSTRUTIVA, POS MASTECTOMIA CO ","1.423,48"
401020037,ENXERTO LIVRE DE PELE TOTAL,"663,37"
409070262,TRATAMENTO CIRURGICO DA HIPERTROFIA DOS PEQUENOS,"347,55"
404020232,EXCISAO E RECONSTRUCAO TOTAL DE LABIO,"1.416,55"
413040194,TRATAMENTO CIRURGICO DA RETRACAO CICATRICIAL DO CO,"745,88"
404020321,RINOPLASTIA REPARADORA NAO ESTETICA,"724,20"
405040016,TRATAMENTO CIRURGICO DO LAGOFTALMO,"580,35"
413040119,RECONSTRUCAO DE LOBULO DA ORELHA,"552,62"
408060662,TRATAMENTO CIRURGICO DA POLIDACTILIA ARTICULADA,"469,54"
410010081,PLASTICA MAMARIA MASCULINA (GINECOMASTIA),"817,46"
401020053,EXCISAO E SUTURA DE LESAO CIRCULAR COM ROTACAO DE,"422,78"
404030068,OSTEOPLASTIA PARA MICROGNATISMO COM OU SEM IMPLAN,"1.150,51"
413040224,TRATAMENTO CIRURGICO DA RETRACAO CICATRICIAL REGIA,"921,73"
413040240,SUTURAS E REPARACOES DE PERDA DE SUBSTANCIA DA MA,"455,53"
413040127,RECONSTRUCAO DO POLO SUPERIOR DA ORELHA,"552,62"
413040216,RETRACAO CICATRICIAL - CORRECAO EM UM ESTAGIO,"745,88"
413040186,TRATAMENTO CIRURGICO DA RETRACAO CICATRICIAL DA AX,"921,73"
404020356,TRATAMENTO CIRURGICO DA FISTULA E CISTOS ORO-MAXILA,"872,12"
404020399,TRATAMENTO CIRURGICO DA PARALISIA FACIAL (SUSPENSAO,"1.018,03"
404020232,RECONSTRUCAO PARCIAL DO LABIO,"936,10"
413040208,RETRACAO CICATRICIAL DOS DEDOS DA MAO SEM COMPROM,"455,71"
413040143,RECONSTRUCAO TOTAL DA ORELHA (MULTIPLOS ESTAGIOS),"980,05"
408060700,TRATAMENTO CIRURGICO DA SINDACTILIA (DOIS INTRA DIGIT,"710,33"
413040020,RETRACAO CICATRICIAL EXTENSA - VARIOS ESTAGIOS,"1.363,83"
401020053,EXCISAO E SUTURA COM PLASTICA EM Z NA PELE,"489,92"
404020038,TRATAMENTO CIRURGICO DA FISTULA ORO-NASAL,"872,12"
408060700,TRATAMENTO CIRURGICO DA SINDACTILIA (DOIS DIGITOS),"710,33"
404020348,TRATAMENTO CIRURGICO DA ATRESIA NARINARIA,"693,31"
401020150,TRATAMENTO CIRURGICO DO SINUS PRE-AURICULAR,"455,39"
408060697,TRATAMENTO CIRURGICO DA SINDACTILIA MULTIPLA,"813,85"
408030755,TRATAMENTO CIRURGICO DO TORCICOLO CONGENITO,"759,67"
408060697,TRATAMENTO CIRURGICO DA SINDACTILIA (MULTIPLA) ATE,"3,00"
404030130,TRATAMENTO CIRURGICO REPARADOR NAO ESTETICO DO NA,"724,20"
404020224,RECONSTRUCAO TOTAL DE CAVIDADE ORBITARIA,"410,15"
413040208,RETRACAO CICATRICIAL DOS DEDOS DO PE SEM COMPROME,"536,02"
413040216,TRATAMENTO CIRURGICO DA RETRACAO CICATRICIAL EM UM,"745,88"
413040097,PREPARO DE RETALHO,"696,62"
404030076,PALATO LABIOPLASTIA (UNILATERAL  ESTAGIOS),"2,00"
401020142,HIPERQUERATOSE PLANTAR COM CORRECAO PLASTICA INCL,"395,58"
413040100,PREPARO DE TUBO PEDICULADO,"872,20"
404030076,PALATO LABIOPLASTIA (BILATERAL  ESTAGIOS),"3,00"
404020240,RECONSTRUCAO PARCIAL DO NARIZ,"771,79"
405010133,RECONSTRUCAO TOTAL DA PALPEBRA,"1.171,32"
404020208,QUEILOPLASTIA (HIPERTROFIA DO LABIO),"439,55"
404020240,RECONSTRUCAO TOTAL DO NARIZ,"799,15"
413040151,TRANSFERENCIA INTERMEDIARIA DE RETALHO,"964,95"
404030165,RINOPLASTIA EM PACIENTE COM LESAO LABIO PALATAIS,"724,20"
413040151,TRANSFERENCIA INTERMEDIARIA DE TUBO PEDICULADO,"964,95"
404030173,SEPTOPLASTIA EM PACIENTES COM LESAO LABIO-PALATAL,"552,64"
404030017,ALONGAMENTO DE COLUMELA EM PACIENTES COM LESOES,"724,20"
401020070,EXERESE DE CISTO DERMOIDE,"235,94"
401020010,ENXERTO COMPOSTO,"917,30"
415040027,DEBRIDAMENTO DA FASCEITE NECROTIZANTE,"1.213,69"
401020045,"EXCISAO E ENXERTO DE PELE( HEMANGIOMA, NEVUS OU TUM ","499,77"
501080090,"EXCISAO E ENXERTO DE PELE( HEMANGIOMA, NEVUS OU TUM ","499,77"
401020100,EXTIRPACAO E SUPRESSAO DE LESAO DA PELE E DO TECIDO,"235,94"
501080015,EXTIRPACAO E SUPRESSAO DE LESAO DA PELE E DO TECIDO,"235,94"
401020118,HOMOENXERTIA ATO CIRURGICO PRE E POS OPERATORIOS,"566,97"
501080066,HOMOENXERTIA ATO CIRURGICO PRE E POS OPERATORIOS,"566,97"
413040178,PERDA DE SUBSTANCIA CUTANEA - LESOES EXTENSAS PLAN,"872,20"
401020169,ESTAGIOS SUBSEQUENTES DE ENXERTIA (NO MAXIMO DE  ),"4,00"
401020126,ESCALPO PARCIAL,"964,95"
401020134,ESCALPO TOTAL,"1.878,50"
404030106,PALATOPLASTIA COMPLETA,"2.254,47"
404030084,PALATOPLASTIA COM ENXERTO OSSEO OU RETALHO,"1.343,25"
404030106,PALATOPLASTIA PARCIAL,"2.214,78"
404030076,PALATO LABIOPLASTIA UNI OU BILATERAL (POR ESTAGIO),"1.538,02"
404030033,CIRURGIA ORTOGNATIA PARA MAXILAR OU MAXILO/MANDIBU,"3.656,38"
404030033,CIRURGIA ORTOGNATIA TIPO LE FORT III,"3.714,31"
409050091,CIRURGIA REPARADORA/RECONSTRUTORA PARA IMPLANTE,"1.138,46"
413010090,PEQUENO QUEIMADO,"367,38"
413010082,MEDIO QUEIMADO - HOSPITAL GERAL,"903,00"
404030122,QUEILOPLASTIA EM PACIENTES COM DEFORMIDADES CRANIO,"719,58"
413010066,GRANDE QUEIMADO - HOSPITAL GERAL,"1.855,39"
301110026,EXCISAO E RECONSTRUCAO TOTAL DE LABIO EM PACIENTES,"1.021,66"
404030157,EXCISAO E RECONSTRUCAO TOTAL DE LABIO EM PACIENTES,"1.021,66"
413010015,ATENDIMENTO INICIAL DE GRANDE QUEIMADO - HOSPITAL GE,"962,50"
413010082,MEDIO QUEIMADO - ALTA COMPLEXIDADE,"1.300,25"
413010066,GRANDE QUEIMADO - ALTA COMPLEXIDADE,"3.090,50"
413010082,MEDIO QUEIMADO - CENTRO INTERMEDIARIO,"1.060,15"
413010066,GRANDE QUEIMADO - CENTRO INTERMEDIARIO,"2.042,95"
413010015,PRIMEIRO ATENDIMENTO DE MEDIO E GRANDE QUEIMADOS,"334,58"
413040054,DERMOLIPECTOMIA ABDOMINAL POS GASTROPLASTIA,"1.397,32"
413040089,MAMOPLASTIA POS GASTROPLASTIA,"1.379,77"
413040070,DERMOLIPECTOMIA CRURAL POS GASTROPLASTIA,"1.397,32"
413040062,DERMOLIPECTOMIA BRAQUIAL POS GASTROPLASTIA,"1.397,27"
413030016,LIPOASPIRACAO DE GIBA EM PACIENTES COM LIPODISTROFIA,"836,62"
413030024,LIPOASPIRACAO DE PAREDE ABDOMINAL EM PACIENTES COM,"838,47"
413030075,REDUCAO MAMARIA EM PACIENTE COM LIPODISTROFIA DECO,"818,47"
413030083,TRATAMENTO DA GINECOMASTIA EM PACIENTE COM LIPODIS,"568,89"
413030032,LIPOENXERTIA DE GLUTEO EM PACIENTE COM LIPODISTROFI,"676,99"
413030067,RECONSTRUCAO GLUTEA EM PACIENTE COM LIPODISTROFIA,"876,99"
413030059,PREENCHIMENTO FACIAL COM TECIDO GORDUROSO EM PAC,"241,72"
416080081,RECONSTRUCAO COM RETALHO MIO CUTANEO (QUALQUER P,"3.658,34"
416080090,RECONSTRUCAO POR MICROCIRURGIA (QUALQUER PARTE) E,"2.657,93"
416080030,EXCISAO E SUTURA COM PLASTICA EM Z NA PELE,"525,39"
416080014,"EXCISAO E ENXERTO DE PELE( HEMANGIOMA, NEVUS OU TUM ","741,52"
415030013,POLITRAUMATIZADO,"0,00"
412040085,REDUCAO CIRURGICA DA FRATURA DA COSTELA,"989,30"
201010305,BIOPSIA DO OMOPLATA OU DA CLAVICULA,"571,78"
408060034,ALONGAMENTO OU TRANSPORTACAO OSSEACIRURGICO DO,"1.268,79"
408020024,AMPUTACAO DO ANTEBRACO,"1.066,78"
408020016,AMPUTACAO AO NIVEL DE RAIO DA MAO,"471,91"
408040033,ARTRODESE DA ARTICULACAO SACRO ILIACA,"1.382,07"
408060034,ALONGAMENTO OU TRANSPORTACAO OSSEA AO NIVEL DO F,"1.740,16"
408050039,ARTRODESE DO TORNOZELO (TIBIO-TARSICA) EM GERAL,"920,23"
408050020,AMPUTACAO / DESARTICULACAO DO PE AO NIVEL DO TARSO,"901,35"
408060212,RESSECCAO CISTO SINOVIAL,"381,20"
408060328,RETIRADA DE CORPO ESTRANHO INTRA-ARTICULAR,"459,00"
408060352,RETIRADA DE FIO OU PINO INTRA-OSSEA (NECESSITANDO CO,"441,28"
408020113,INSTALACAO DE TRACAO TRANS-ESQUELETICA EM MEMBRO,"26,25"
408060514,TRANSPLANTES COM MICROANASTOMOSE VASCULAR MUSC,"2.269,77"
408010088,DESARTICULACAO INTER ESCAPULO TORACICA,"1.655,45"
408010029,ARTRODESE ESCAPULO UMERAL,"1.135,64"
408020032,ARTRODESE DO COTOVELO,"1.058,50"
408020296,REVISAO DO COTO AMPUTADO DO ANTEBRACO,"453,65"
408020032,ARTRODESE DO PUNHO (RADIO-CARPICA),"812,05"
408060425,REVISAO DE COTO AMPUTADO DA MAO,"453,65"
201010313,BIOPSIA OSSEA AO NIVEL DA PELVE,"532,92"
408040017,ARTRODESE COXO FEMORAL,"2.384,76"
408060115,ENCURTAMENTO DO FEMUR,"1.524,92"
408050039,ARTRODESE DO JOELHO,"1.229,13"
408060034,ALONGAMENTO OU TRANSPORTACAO OSSEA AO NIVEL DA TI,"1.455,03"
408060425,REVISAO DE COTO AMPUTADO DO PE,"453,65"
408060468,DESINSERCAO MUSCULAR,"612,93"
408060441,ABERTURA DE BAINHA TENDINOSA,"381,20"
408060409,RETIRADA DE FIO OU PINO TRANS-OSSEO,"305,60"
303090049,INSTALACAO DE TRACAO CUTANEA,"17,50"
408060522,TRANSPLANTES COM MICROANASTOMOSE VASCULAR OSTEO,"1.828,51"
408010100,"OSTECTOMIA, CURETAGEM, SEQUESTRECTOMIA OU SAUCER ","586,97"
408030038,ARTRODESE POSTERIOR OU POSTERO-LATERAL DISTAL A C,"2,00"
408030046,ARTRODESE POSTERIOR OU POSTERO-LATERAL DISTAL A C,"2,00"
408010100,RESSECCAO PARCIAL OU TOTAL DA CLAVICULA,"894,52"
408010045,ARTROPLASTIA ESCAPULO-UMERAL PARCIAL,"1.713,59"
408060590,CORRECAO CIRURGICA DA FRATURA VICIOSAMENTE CONSO,"1.268,79"
408020075,ARTROPLASTIA DO COTOVELO (COM IMPLANTE),"1.719,44"
201010330,BIOPSIA (OSSEA OU OSTEO-PERIOSTAL) DO(S) OSSO(S) DO A,"342,70"
408060042,AMPUTACAO DO DEDO (CADA),"439,33"
201010313,BIOPSIA DA ARTICULACAO SACRO ILIACA,"489,12"
408040050,ARTROPLASTIA PARCIAL DO QUADRIL,"2.581,01"
201010321,BIOPSIA DO FEMUR,"532,66"
408050071,ARTROPLASTIA UNICOMPARTIMENTAL DO CONDILO FEMORA,"1.885,95"
408050012,AMPUTACAO DA PERNA,"1.122,14"
408060042,AMPUTACAO OU DESARTICULACAO DO(S) PODODACTILO(S),"439,02"
408060018,ALONGAMENTO OU ENCURTAMENTO DE TENDAO,"645,12"
408060336,RETIRADA DE CORPO ESTRANHO INTRA-OSSEO,"475,74"
408060379,RETIRADA DE PARAFUSO,"441,28"
408050098,INSTALACAO DE TRACAO ESQUELETICA EM REGIAO TROCAN,"26,25"
408060263,RESSECCAO DE TUMOR OSSEO COM SUBSTITUICAO,"4.482,17"
408060239,RECONSTRUCAO POR MICROCIRURGIA EM TUMOR OSSEO,"3.961,20"
408040149,"TREPANACAO, OSTECTOMIA, CURETAGEM, SEQUESTRECTOM ","1.373,66"
201010127,BIOPSIA DO CORPO VERTEBRAL ABERTA,"582,20"
201010305,BIOPSIA DA ARTICULACAO ESCAPULO UMERAL,"571,78"
201010330,BIOPSIA DO UMERO,"489,12"
408060590,TRATAMENTO CIRURGICO DA FRATURA VICIOSAMENTE CONS,"1.100,73"
201010330,BIOPSIA (OSSEA OU OSTEO-PERIOSTAL OU SINOVIAL) AO NIV,"342,70"
408040114,DESARTICULACAO INTER ILIO ABDOMINAL,"2.908,29"
408060123,EXPLORACAO OU TOALETE ARTICULAR COM OU SEM SINOVE,"1.018,72"
408050012,AMPUTACAO DA COXA,"1.524,92"
408050330,REVISAO DE COTO AMPUTADO DA PERNA,"453,65"
408060468,MIOTOMIA,"612,93"
201010267,BIOPSIA DE BAINHA TENDINOSA,"160,11"
408060379,RETIRADA DE PLACA E PARAFUSOS,"458,05"
408050098,INSTALACAO DE TRACAO TRANS-ESQUELETICA EM REGIAO F,"26,25"
408060298,RESSECCAO DE TUMOR OSSEO COM DESLIZAMENTO,"1.054,40"
408060174,"OSTECTOMIA, CURETAGEM, SEQUESTRECTOMIA OU SAUCER ","1.329,00"
201010135,"BIOPSIA DO CORPO VERTEBRAL, LAMINA OU PEDICULO COM ","451,45"
408010070,DESARTICULACAO DA ARTICULACAO ESCAPULO UMERAL,"1.348,87"
408020024,AMPUTACAO AO NIVEL DO BRACO,"1.110,05"
408060034,ALONGAMENTO OU TRANSPORTACAO CIRURGICO DOS OSSO,"960,11"
408020016,DESARTICULACAO AO NIVEL DO PUNHO,"696,11"
408060050,ARTRODESE INTERFALANGIANA,"449,05"
408040157,OSTEOTOMIA AO NIVEL DA PELVE,"1.382,07"
201010313,BIOPSIA DA ARTICULACAO COXO FEMORAL,"532,92"
408050330,REVISAO DE COTO AMPUTACAO DO FEMUR,"453,65"
201010321,BIOPSIA DO JOELHO,"511,14"
201010321,BIOPSIA DO(S) OSSO(S) DA PERNA,"489,12"
408060301,RESSECCAO MUSCULAR,"645,12"
201010267,BIOPSIA DE TENDAO,"160,11"
408050098,INSTALACAO DE TRACAO TRANS-ESQUELETICA EM REGIAO T,"26,25"
408060310,RESSECCAO SIMPLES DE TUMOR OSSEO,"844,41"
209010061,"VIDEOSCOPIA PARA DIAGNOSTICO PARA DRENAGEM, TOALET ","87,50"
408060166,"TREPANACAO, OSTECTOMIA, CURETAGEM, SEQUESTRECTOM ","469,72"
201010259,BIOPSIA DE VERTEBRA ABERTA,"582,20"
408010150,TRATAMENTO CIRURGICO DE FRATURA DA CLAVICULA,"894,52"
408010142,"REPARO DE ROTURA DO MANGUITO ROTADOR, INCLUINDO P ","651,16"
408020296,REVISAO DE COTO AMPUTADO DO UMERO,"453,65"
201010330,BIOPSIA DO COTOVELO,"342,70"
408060174,RESSECCAO DA APOFISE ESTILOIDE DO RADIO,"793,30"
408060123,EXPLORACAO OU TOALETE ARTICULAR COM OU SEM SINOVE,"488,91"
408060050,ARTRODESE METACARPO FALANGIANA,"449,05"
408040106,DESARTICULACAO AO NIVEL DA COXO FEMORAL,"2.384,76"
408060190,"OSTEOTOMIA DO COLO, DA REGIAO TROCANTERICA E SUBTR ","1.711,58"
408050012,DESARTICULACAO AO NIVEL DO JOELHO,"1.171,37"
408060050,ARTRODESE METATARSO-FALANGIANA OU INTERFALANGIANA,"646,08"
408050098,INSTALACAO DE TRACAO TRANS-ESQUELETICAEM REGIAO TI,"26,25"
201010259,BIOPSIA DO PEDICULO VERTEBRAL ABERTA,"582,20"
408010177,TRATAMENTO CIRURGICO DA FRATURA DO CORPO DA ESCAP,"859,40"
408010215,TRATAMENTO CIRURGICO DA LUXACAO RECIDIVANTE OU HAB,"1.174,28"
408060190,OSTEOTOMIA DO UMERO,"1.250,03"
408020091,RESSECCAO DA CABECA DO RADIO,"844,94"
408060166,RESSECCAO DE OSSO OU OSSOS DO CARPO,"630,73"
408060140,TRATAMENTO CIRURGICO DA RETRACAO DA APONEVROSE P,"742,72"
408060581,CORRECAO CIRURGICA DE DEFORMIDADE DO QUADRIL POR,"1.922,45"
408060190,OSTEOTOMIA NO JOELHO,"1.301,21"
201010321,BIOPSIA DO TORNOZELO,"489,12"
408050080,FASCIOTOMIA PLANTAR (OPERACAO DE STEINDLER),"613,62"
408060018,ALONGAMENTO MUSCULAR,"358,35"
408060441,EXPLORACAO CIRURGICA DE TENDAO,"470,52"
408060387,RETIRADA DE PROTESE DE SUBSTITUICAO EM GRANDES ART,"1.688,72"
408050098,INSTALACAO DE TRACAO CALCANEANA,"26,25"
408060255,RESSECAO DE TUMOR OSSEO COM TRANSPORTACAO,"1.907,47"
408030550,RESSECCAO DE UM CORPO VERTEBRAL,"2.641,52"
408010185,TRATAMENTO CIRURGICO DE LUXACAO OU FRATURA-LUXA,"859,40"
408060123,CAPSULOTOMIA DO COTOVELO,"803,75"
408060174,RESSECCAO DA EXTREMIDADE DISTAL DA ULNA,"844,94"
408020466,TRATAMENTO CIRURGICO DA(S) FRATURA(S) DO(S) OSSO(S),"647,21"
408020040,ARTROPLASTIA INTERFALANGIANA,"761,27"
408050101,PATELECTOMIA TOTAL OU PARCIAL,"1.024,37"
408060190,OSTEOTOMIA SUPRA-TUBEROSITARIA DA TIBIA,"1.181,44"
408060123,EXPLORACAO OU TOALETE ARTICULAR COM OU SEM SINOVE,"574,50"
408060182,OSTEOTOMIA DO CALCANEO,"778,16"
408060603,CORRECAO CIRURGICA DE HERNIA MUSCULAR,"355,76"
408060433,TENODESE,"470,52"
408030488,INSTALACAO DE HALO CRANIANO,"61,25"
408030330,COSTO-TRANSVERSECTOMIA,"1.708,93"
408010207,TRATAMENTO CIRURGICO DE LUXACAO OU FRATURA-LUXA,"859,40"
408010134,REDUCAO INCRUENTA DE LUXACAO OU FRATURA-LUXACAO,"290,48"
408020393,TRATAMENTO CIRURGICO DA FRATURA DA DIAFISE DO UMER,"952,60"
408020024,DESARTICULACAO AO NIVEL DO COTOVELO,"1.058,50"
408020407,TRATAMENTO CIRURGICO DE FRATURA NAS EXTREMIDADES,"913,53"
408020520,TRATAMENTO CIRURGICO DA LUXACAO OU FRATURA-LUXACA,"647,21"
408020040,ARTROPLASTIA METACARPO FALANGIANA,"761,27"
408040254,"TRATAMENTO CIRURGICO DE FRATURA, LUXACAO, FRATURA ","1.815,65"
408040262,"TRATAMENTO CIRURGICO DE FRATURA, LUXACAO, FRATURA ","1.815,65"
408050519,TRATAMENTO CIRURGICO DA FRATURA DA DIAFISE DO FEMU,"1.790,83"
408060085,EXCISAO DE BURSA PRE-PATELAR OU ANSERINA OU OUTRA A,"819,18"
